Serial No.,GRE Score,CGPA,university_name
1,337,9.65,Harvard University
2,324,8.87,California Institute of Technology
3,316,8,Massachusetts Institute of Technology
4,322,8.67,Stanford University
5,314,8.21,Princeton University
6,330,9.34,University of Cambridge
7,321,8.2,University of Oxford
8,308,7.9,"University of California, Berkeley"
9,302,8,Imperial College London
10,323,8.6,Yale University
11,325,8.4,"University of California, Los Angeles"
12,327,9,University of Chicago
13,328,9.1,Johns Hopkins University
14,307,8,Cornell University
15,311,8.2, Swiss Federal Institute of Technology Zurich
16,314,8.3,University of Michigan
17,317,8.7,University of Toronto
18,319,8,Columbia University
19,318,8.8,University of Pennsylvania
20,303,8.5,Carnegie Mellon University
21,312,7.9,University of Hong Kong
22,325,8.4,University College London
23,328,9.5,University of Washington
24,334,9.7,Duke University
25,336,9.8,Northwestern University
26,340,9.6,University of Tokyo
27,322,8.8,Georgia Institute of Technology
28,298,7.5,Pohang University of Science and Technology
29,295,7.2,"University of California, Santa Barbara"
30,310,7.3,University of British Columbia
31,300,8.1,University of North Carolina at Chapel Hill
32,327,8.3,"University of California, San Diego"
33,338,9.4,University of Illinois at Urbana-Champaign
34,340,9.6,National University of Singapore
35,331,9.8,McGill University
36,320,9.2,University of Melbourne
37,299,8.4,Peking University
38,300,7.8,Washington University in St Louis
39,304,7.5,École Polytechnique
40,307,7.7,University of Edinburgh
41,308,8,Hong Kong University of Science and Technology
42,316,8.2,École Normale Supérieure
43,313,8.5,Australian National University
44,332,9.1,Karolinska Institute
45,326,9.4,University of Göttingen
46,322,9.1,University of Wisconsin
47,329,9.3,Rice University
48,339,9.7,Massachusetts Institute of Technology
49,321,8.85,"University of California, Irvine"
50,327,8.4,University of Science and Technology of China
51,313,8.3,Vanderbilt University
52,312,7.9,University of Minnesota
53,334,8,Tufts University
54,324,8.1,"University of California, Davis"
55,322,8,Brown University
56,320,7.7,University of Massachusetts
57,316,7.4,Kyoto University
58,298,7.6,Tsinghua University
59,300,6.8,Boston University
60,311,8.3,New York University
61,309,8.1,Emory University
62,307,8.2,LMU Munich
63,304,8.2,University of Notre Dame
64,315,8.5,University of Pittsburgh
65,325,8.7,Case Western Reserve University
66,325,8.92,Ohio State University
67,327,9.02,University of Colorado Boulder
68,316,8.64,University of Bristol
69,318,9.22,"University of California, Santa Cruz"
70,328,9.16,Yeshiva University
71,332,9.64,University of Sydney
72,336,9.76,University of Virginia
73,321,9.45,University of Adelaide
74,314,9.04,University of Southern California
75,314,8.9,William & Mary
76,329,8.56,Trinity College Dublin
77,327,8.72,Kingston College London
78,301,8.22,Stony Brook University
79,296,7.54,Korea Advanced Institute of Science and Technology (KAIST)
80,294,7.36,University of Sussex
81,312,8.02,The University of Queensland
82,340,9.5,University of York
83,320,9.22,Heidelberg University
84,322,9.36,University of Utah
85,340,9.45,Durham University
86,319,8.66,London School of Economics and Political Science
87,315,8.42,University of Manchester
88,317,8.28,"Royal Holloway, University of London"
89,314,8.14,Lund University
90,316,8.76,University of Southampton
91,318,7.92,University of Zurich
92,299,7.66,Wake Forest University
93,298,8.03,McMaster University
94,301,7.88,University College Dublin
95,303,7.66,George Washington University
96,304,7.84,University of Arizona
97,306,8,University of Basel
98,331,8.96,"University of Maryland, College Park"
99,332,9.24,Dartmouth College
100,323,8.88,École Normale Supérieure de Lyon
101,322,8.46,Technical University of Munich
102,312,8.12,University of Helsinki
103,314,8.25,University of St Andrews
104,317,8.47,Rensselaer Polytechnic Institute
105,326,9.05,"Rutgers, the State University of New Jersey"
106,316,8.78,Purdue University
107,329,9.18,National Tsing Hua University
108,338,9.46,University of Cape Town
109,331,9.38,Pennsylvania State University
110,304,8.64,Seoul National University
111,305,8.48,Hong Kong Baptist University
112,321,8.68,Bilkent University
113,301,8.34,Tokyo Institute of Technology
114,320,8.56,Eindhoven University of Technology
115,311,8.45,National Taiwan University
116,310,9.04,University of Hawaii
117,299,8.62,"University of California, Riverside"
118,290,7.46,University of Geneva
119,296,7.28,KU Leuven
120,327,8.84,Nanjing University
121,335,9.56,Queen Mary University of London
122,334,9.48,Michigan State University
123,310,8.36,Technical University of Denmark
124,308,8.22,Ghent University
125,301,8.47,Lancaster University
126,300,8.66,Leiden University
127,323,9.32,University of Alberta
128,319,8.71,University of Glasgow
129,326,9.1,Stockholm University
130,333,9.35,Osaka University
131,339,9.76,University of Victoria
132,303,8.65,Tohoku University
133,309,8.56,University of Freiburg
134,323,8.78,University of Iowa
135,333,9.28,University of Bergen
136,314,8.77,University of Lausanne
137,312,8.45,University of Sheffield
